"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"MONTHS_BALANCE_sd.y",6.37533645013939,6.37440604210597,4.4159741137645,7.35162184274185,1,"Confirmed"
"CNT_INSTALMENT_sd",5.57636702067722,5.62585985799843,3.82489749260944,7.24263597947315,1,"Confirmed"
"CNT_INSTALMENT_FUTURE_sd",7.16853140013429,7.02860070754762,5.03918210481027,9.01656863572227,1,"Confirmed"
"NAME_CONTRACT_STATUS_sd.y",5.97431466478429,6.25170498858536,3.19251949634293,8.57257137697095,1,"Confirmed"
"SK_DPD_sd.y",4.54568185108426,4.60668754015088,3.11339720632239,5.70054521900531,0.959183673469388,"Confirmed"
"SK_DPD_DEF_sd.y",5.56963571934384,5.50711891316956,4.20832973519622,6.86931904399329,1,"Confirmed"
"MONTHS_BALANCE_min.y",5.64714227713969,5.57827614519315,4.13298364540383,7.03501884759688,1,"Confirmed"
"CNT_INSTALMENT_min",6.56875549841638,6.5920994281965,5.00716739396478,7.72657092114069,1,"Confirmed"
"CNT_INSTALMENT_FUTURE_min",5.90828072220497,5.95858485165738,4.66079874427861,7.2963475464955,1,"Confirmed"
"NAME_CONTRACT_STATUS_min.y",-0.371071641295108,-0.551922852163691,-2.00958988383949,0.905164973338842,0,"Rejected"
"SK_DPD_min.y",2.06713079171471,2.07890071251399,1.16601039823714,3.03492897664915,0,"Rejected"
"SK_DPD_DEF_min.y",0,0,0,0,0,"Rejected"
"MONTHS_BALANCE_max.y",6.50708310117064,6.69490414390188,3.78155355703334,8.16158584714281,1,"Confirmed"
"CNT_INSTALMENT_max",4.8086605296766,4.94203891707622,2.15623562645139,6.9097456134753,0.877551020408163,"Confirmed"
"CNT_INSTALMENT_FUTURE_max",5.12912968780562,5.19990187054656,2.77754351400245,6.80393560415822,0.938775510204082,"Confirmed"
"NAME_CONTRACT_STATUS_max.y",2.81614968201881,2.7790977669142,0.588371507073911,4.47015899645087,0.306122448979592,"Tentative"
"SK_DPD_max.y",4.62233432271377,4.68640199834911,3.20295209849584,5.79431521259693,1,"Confirmed"
"SK_DPD_DEF_max.y",5.16168793548641,5.03742364439994,3.93461602200121,6.65245606515566,1,"Confirmed"
"MONTHS_BALANCE_sum.y",7.24204827543867,7.31546879038904,5.43239681701161,8.9700195104582,1,"Confirmed"
"CNT_INSTALMENT_sum",6.7078618047118,6.85104802857903,3.99498517383363,8.80163940664749,1,"Confirmed"
"CNT_INSTALMENT_FUTURE_sum",7.01169642166612,7.14613660926483,4.36434937977174,9.31019572805323,1,"Confirmed"
"NAME_CONTRACT_STATUS_sum.y",7.44526058041102,7.44429601230245,5.78266294463984,9.38703096537908,1,"Confirmed"
"SK_DPD_sum.y",4.33842156901689,4.36220974505393,2.59835636973291,5.88939172606452,0.897959183673469,"Confirmed"
"SK_DPD_DEF_sum.y",5.9238277549994,5.96882086692368,4.43633573512158,7.30585513037961,1,"Confirmed"
"MONTHS_BALANCE_n_distinct.y",5.62427671661229,5.61182346071097,3.14971383765914,8.15693167627478,0.979591836734694,"Confirmed"
"CNT_INSTALMENT_n_distinct",5.14440106243113,5.1630700445241,3.35681449574869,6.71946049649442,0.979591836734694,"Confirmed"
"CNT_INSTALMENT_FUTURE_n_distinct",6.32639900790814,6.48593890247543,3.34637628703706,9.19200552196597,0.979591836734694,"Confirmed"
"NAME_CONTRACT_STATUS_n_distinct.y",3.93480818885959,3.87404591184184,2.10577062175129,5.71791721593727,0.836734693877551,"Confirmed"
"SK_DPD_n_distinct.y",4.54291491727332,4.61916882269846,2.40775307490593,5.76949407820467,0.979591836734694,"Confirmed"
"SK_DPD_DEF_n_distinct.y",4.91069944956546,4.91692838991077,2.99720383451488,6.2419850912823,1,"Confirmed"
"NAME_CONTRACT_TYPE_mean",6.90032287410191,6.96292311459271,4.35918370957428,9.36522487974275,1,"Confirmed"
"AMT_ANNUITY_mean.y",6.74199372780981,6.62359829374631,4.7698041172388,9.04026684829031,1,"Confirmed"
"AMT_APPLICATION_mean",6.65280488041323,6.44740515655125,4.82700983955931,8.89793439026189,1,"Confirmed"
"AMT_CREDIT_mean",7.18801610010096,7.37560266450536,4.32973379724011,10.3991994945154,1,"Confirmed"
"AMT_DOWN_PAYMENT_mean",3.73881225224922,3.59566087812365,2.53449929166434,4.99862672847943,0.816326530612245,"Confirmed"
"AMT_GOODS_PRICE_mean",7.01735392605837,7.11802956745441,4.95537124492098,8.92178594522147,1,"Confirmed"
"WEEKDAY_APPR_PROCESS_START_mean",6.52601051715022,6.42260439540372,5.02489591057281,9.08461817528559,1,"Confirmed"
"HOUR_APPR_PROCESS_START_mean",4.15908635574991,4.20349077857228,1.5927222722402,6.20017317477805,0.795918367346939,"Confirmed"
"FLAG_LAST_APPL_PER_CONTRACT_mean",0.391712102878603,0.506406935370762,-1.11980947188735,1.47774340558785,0,"Rejected"
"NFLAG_LAST_APPL_IN_DAY_mean",-0.253547577323724,-0.0415781394445616,-2.52868859263478,1.16958464468058,0,"Rejected"
"RATE_DOWN_PAYMENT_mean",3.63529637500659,3.67011283571632,2.46559509041917,4.87199845701796,0.816326530612245,"Confirmed"
"NAME_CASH_LOAN_PURPOSE_mean",4.38788801775829,4.33524764629769,2.9416018302374,6.31113156481786,0.918367346938776,"Confirmed"
"NAME_CONTRACT_STATUS_mean",7.61516682216313,7.69846769390375,5.46630726374801,9.74496321384455,1,"Confirmed"
"DAYS_DECISION_mean",7.82670824838427,7.90729547119775,6.22307911143199,8.94223872690604,1,"Confirmed"
"NAME_PAYMENT_TYPE_mean",3.03649459363847,3.01677095711836,1.2434587322417,5.00433480175784,0.408163265306122,"Tentative"
"CODE_REJECT_REASON_mean",7.1387741044305,7.06528762017536,5.39350345292624,8.83488741683272,1,"Confirmed"
"NAME_TYPE_SUITE_mean",4.80067867182463,4.65247641905271,2.59471067417373,6.51241830929602,0.979591836734694,"Confirmed"
"NAME_CLIENT_TYPE_mean",5.4281933723985,5.5218008930194,4.09740312239651,6.99802963224757,1,"Confirmed"
"NAME_GOODS_CATEGORY_mean",6.04997245507922,6.09761908440725,3.90956450491578,8.07317317748025,1,"Confirmed"
"NAME_PORTFOLIO_mean",5.96254155266674,5.96146016246859,3.72224974488474,8.2007763022329,1,"Confirmed"
"NAME_PRODUCT_TYPE_mean",5.24124715975139,5.2587376735374,3.68682147898406,7.79136889747461,1,"Confirmed"
"CHANNEL_TYPE_mean",6.45584579217038,6.4773159545066,5.16014303276175,8.66848336652089,1,"Confirmed"
"SELLERPLACE_AREA_mean",3.71461626616629,3.76930972296769,1.82382011697537,5.20592814639465,0.714285714285714,"Tentative"
"NAME_SELLER_INDUSTRY_mean",5.9179241743828,5.90164697177287,3.72476541729025,7.97048769775817,1,"Confirmed"
"CNT_PAYMENT_mean",6.60875837844467,6.72211406854333,5.13635428825436,8.03766118487925,1,"Confirmed"
"NAME_YIELD_GROUP_mean",7.43066958918491,7.53308901245166,5.15989683782449,10.122199835437,1,"Confirmed"
"PRODUCT_COMBINATION_mean",7.35830938407412,7.54234843042927,3.86944639375572,9.00051787665301,1,"Confirmed"
"DAYS_FIRST_DUE_mean",6.93404131842026,6.93409892100878,5.71184384145454,8.11888167933529,1,"Confirmed"
"DAYS_LAST_DUE_1ST_VERSION_mean",6.9412803133181,6.87437188201144,5.60545886596784,8.49558624296691,1,"Confirmed"
